start	filename	destination	result
	/cos1sgw1_20220901025512_17139.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901025512_17139.xml.gz	true
	/cos1sgw1_20220901025545_17140.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901025545_17140.xml.gz	true
	/cos1sgw1_20220901031012_17141.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901031012_17141.xml.gz	true
	/cos1sgw1_20220901031045_17142.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901031045_17142.xml.gz	true
	/cos1sgw1_20220901032512_17143.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901032512_17143.xml.gz	true
	/cos1sgw1_20220901032545_17144.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901032545_17144.xml.gz	true
	/cos1sgw1_20220901034012_17145.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901034012_17145.xml.gz	true
	/cos1sgw1_20220901034045_17146.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901034045_17146.xml.gz	true
	/cos1sgw1_20220901035512_17147.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901035512_17147.xml.gz	true
	/cos1sgw1_20220901035545_17148.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901035545_17148.xml.gz	true
	/cos1sgw1_20220901041012_17149.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901041012_17149.xml.gz	true
	/cos1sgw1_20220901041045_17150.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901041045_17150.xml.gz	true
	/cos1sgw1_20220901042512_17151.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901042512_17151.xml.gz	true
	/cos1sgw1_20220901042545_17152.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901042545_17152.xml.gz	true
	/cos1sgw1_20220901044012_17153.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901044012_17153.xml.gz	true
	/cos1sgw1_20220901044045_17154.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901044045_17154.xml.gz	true
	/cos1sgw1_20220901045512_17155.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901045512_17155.xml.gz	true
	/cos1sgw1_20220901045545_17156.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901045545_17156.xml.gz	true
	/cos1sgw1_20220901051012_17157.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901051012_17157.xml.gz	true
	/cos1sgw1_20220901051045_17158.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901051045_17158.xml.gz	true
	/cos1sgw1_20220901052512_17159.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901052512_17159.xml.gz	true
	/cos1sgw1_20220901052545_17160.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901052545_17160.xml.gz	true
	/cos1sgw1_20220901054012_17161.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901054012_17161.xml.gz	true
	/cos1sgw1_20220901054045_17162.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901054045_17162.xml.gz	true
	/cos1sgw1_20220901055512_17163.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901055512_17163.xml.gz	true
	/cos1sgw1_20220901055545_17164.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901055545_17164.xml.gz	true
	/cos1sgw1_20220901061012_17165.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901061012_17165.xml.gz	true
	/cos1sgw1_20220901061045_17166.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901061045_17166.xml.gz	true
	/cos1sgw1_20220901062512_17167.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901062512_17167.xml.gz	true
	/cos1sgw1_20220901062545_17168.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901062545_17168.xml.gz	true
	/cos1sgw1_20220901064012_17169.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901064012_17169.xml.gz	true
	/cos1sgw1_20220901064045_17170.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901064045_17170.xml.gz	true
	/cos1sgw1_20220901065512_17171.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901065512_17171.xml.gz	true
	/cos1sgw1_20220901065545_17172.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901065545_17172.xml.gz	true
	/cos1sgw1_20220901071012_17173.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901071012_17173.xml.gz	true
	/cos1sgw1_20220901071045_17174.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901071045_17174.xml.gz	true
	/cos1sgw1_20220901072512_17175.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901072512_17175.xml.gz	true
	/cos1sgw1_20220901072545_17176.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901072545_17176.xml.gz	true
	/cos1sgw1_20220901074012_17177.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901074012_17177.xml.gz	true
	/cos1sgw1_20220901074045_17178.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901074045_17178.xml.gz	true
	/cos1sgw1_20220901075512_17179.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901075512_17179.xml.gz	true
	/cos1sgw1_20220901075545_17180.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901075545_17180.xml.gz	true
	/cos1sgw1_20220901081012_17181.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901081012_17181.xml.gz	true
	/cos1sgw1_20220901081045_17182.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901081045_17182.xml.gz	true
	/cos1sgw1_20220901082512_17183.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901082512_17183.xml.gz	true
	/cos1sgw1_20220901082545_17184.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901082545_17184.xml.gz	true
	/cos1sgw1_20220901084012_17185.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901084012_17185.xml.gz	true
	/cos1sgw1_20220901084045_17186.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901084045_17186.xml.gz	true
	/cos1sgw1_20220901085512_17187.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901085512_17187.xml.gz	true
